view,approach,judge_llm,language,label,correct,total,accuracy
overall,,,,,11,18,0.6111111111111112
by_judge_language_approach,reference_based,openai/gpt-5.4-mini,CPMpy,,2,4,0.5
by_judge_language_approach,reference_based,openai/gpt-5.4-mini,minizinc,,3,5,0.6
by_judge_language_approach,reference_free,openai/gpt-5.4-mini,CPMpy,,3,4,0.75
by_judge_language_approach,reference_free,openai/gpt-5.4-mini,minizinc,,3,5,0.6
by_judge_language_approach_label,reference_based,openai/gpt-5.4-mini,CPMpy,equivalent,0,1,0.0
by_judge_language_approach_label,reference_based,openai/gpt-5.4-mini,CPMpy,incomplete,0,1,0.0
by_judge_language_approach_label,reference_based,openai/gpt-5.4-mini,CPMpy,non-executable,1,1,1.0
by_judge_language_approach_label,reference_based,openai/gpt-5.4-mini,CPMpy,unsound,1,1,1.0
by_judge_language_approach_label,reference_based,openai/gpt-5.4-mini,minizinc,equivalent,1,1,1.0
by_judge_language_approach_label,reference_based,openai/gpt-5.4-mini,minizinc,incomplete,1,1,1.0
by_judge_language_approach_label,reference_based,openai/gpt-5.4-mini,minizinc,non-executable,0,1,0.0
by_judge_language_approach_label,reference_based,openai/gpt-5.4-mini,minizinc,unsound,0,1,0.0
by_judge_language_approach_label,reference_based,openai/gpt-5.4-mini,minizinc,unsound-incomplete,1,1,1.0
by_judge_language_approach_label,reference_free,openai/gpt-5.4-mini,CPMpy,equivalent,0,1,0.0
by_judge_language_approach_label,reference_free,openai/gpt-5.4-mini,CPMpy,incomplete,1,1,1.0
by_judge_language_approach_label,reference_free,openai/gpt-5.4-mini,CPMpy,non-executable,1,1,1.0
by_judge_language_approach_label,reference_free,openai/gpt-5.4-mini,CPMpy,unsound,1,1,1.0
by_judge_language_approach_label,reference_free,openai/gpt-5.4-mini,minizinc,equivalent,1,1,1.0
by_judge_language_approach_label,reference_free,openai/gpt-5.4-mini,minizinc,incomplete,1,1,1.0
by_judge_language_approach_label,reference_free,openai/gpt-5.4-mini,minizinc,non-executable,0,1,0.0
by_judge_language_approach_label,reference_free,openai/gpt-5.4-mini,minizinc,unsound,0,1,0.0
by_judge_language_approach_label,reference_free,openai/gpt-5.4-mini,minizinc,unsound-incomplete,1,1,1.0
