judge_llm,approach,generator_llm,language,claimed_label,predicted_label,match,confidence,rationale,raw_reply
openai/gpt-5.4-mini,reference_free,openai/gpt-5.1-codex-mini,minizinc,unsound,non-executable,False,0.98,"The model is syntactically close to MiniZinc, but the reified constraints use `h[i,j] <-> tile[i,j] = 0 /\ v[i,j] <-> ...`, which is not valid MiniZinc syntax/precedence for two separate equivalences as written. As a result it cannot be relied on to execute correctly.","{""label"":""non-executable"",""confidence"":0.98,""rationale"":""The model is syntactically close to MiniZinc, but the reified constraints use `h[i,j] <-> tile[i,j] = 0 /\\ v[i,j] <-> ...`, which is not valid MiniZinc syntax/precedence for two separate equivalences as written. As a result it cannot be relied on to execute correctly.""}"
openai/gpt-5.4-mini,reference_free,openai/gpt-5.1-codex-mini,minizinc,equivalent,equivalent,True,0.76,"The model is executable MiniZinc and enforces that each cell is covered by exactly one adjacent domino side. The boundary constraints prevent out-of-bounds placements, and the h/v variables encode a valid domino tiling of the whole board.","{""label"":""equivalent"",""confidence"":0.76,""rationale"":""The model is executable MiniZinc and enforces that each cell is covered by exactly one adjacent domino side. The boundary constraints prevent out-of-bounds placements, and the h/v variables encode a valid domino tiling of the whole board.""}"
openai/gpt-5.4-mini,reference_free,openai/gpt-5.1-codex-mini,minizinc,non-executable,incomplete,False,0.97,"The model is executable and correctly enforces exact cover for domino tilings, but it adds the extra restriction v[0, j] == 0, forbidding valid tilings that use vertical dominoes starting in the first row. Thus it misses valid solutions.","{""label"":""incomplete"",""confidence"":0.97,""rationale"":""The model is executable and correctly enforces exact cover for domino tilings, but it adds the extra restriction v[0, j] == 0, forbidding valid tilings that use vertical dominoes starting in the first row. Thus it misses valid solutions.""}"
openai/gpt-5.4-mini,reference_free,openai/gpt-5.1-codex-mini,minizinc,incomplete,incomplete,True,0.98,"The model is executable and correctly enforces exact cover by dominoes. However, it adds the extra constraint v[1,j] == false, which forbids valid tilings that use vertical dominoes starting on the first row.","{""label"":""incomplete"",""confidence"":0.98,""rationale"":""The model is executable and correctly enforces exact cover by dominoes. However, it adds the extra constraint v[1,j] == false, which forbids valid tilings that use vertical dominoes starting on the first row.""}"
openai/gpt-5.4-mini,reference_free,openai/gpt-5.1-codex-mini,minizinc,unsound-incomplete,unsound-incomplete,True,0.98,"The model is executable, but the only coverage constraint is sum(cover) >= 1, so overlapping dominoes and non-exact coverings are allowed. Forcing all vertical domino variables v to false also excludes valid tilings that require vertical dominoes, so it misses valid solutions.","{""label"":""unsound-incomplete"",""confidence"":0.98,""rationale"":""The model is executable, but the only coverage constraint is sum(cover) >= 1, so overlapping dominoes and non-exact coverings are allowed. Forcing all vertical domino variables v to false also excludes valid tilings that require vertical dominoes, so it misses valid solutions.""}"
openai/gpt-5.4-mini,reference_free,openai/gpt-5.1-codex-mini,CPMpy,equivalent,unsound,False,0.97,"The code is executable CPMpy, but it does not model a valid exact domino tiling. It only links some orientation values to adjacent cells and prints boolean arrays, so it can accept configurations where cells are uncovered, doubly covered, or inconsistent with a full tiling.","{""label"":""unsound"",""confidence"":0.97,""rationale"":""The code is executable CPMpy, but it does not model a valid exact domino tiling. It only links some orientation values to adjacent cells and prints boolean arrays, so it can accept configurations where cells are uncovered, doubly covered, or inconsistent with a full tiling.""}"
openai/gpt-5.4-mini,reference_free,openai/gpt-5.1-codex-mini,CPMpy,unsound,unsound,True,0.99,"The model is executable, but it only requires each cell to be covered at least once. This allows overlapping dominoes and therefore invalid tilings, so it admits false positives.","{""label"":""unsound"",""confidence"":0.99,""rationale"":""The model is executable, but it only requires each cell to be covered at least once. This allows overlapping dominoes and therefore invalid tilings, so it admits false positives.""}"
openai/gpt-5.4-mini,reference_free,openai/gpt-5.1-codex-mini,CPMpy,incomplete,incomplete,True,0.94,"The model is executable and correctly enforces exact coverage of each cell by dominoes. However, the extra symmetry-breaking-style constraints require at least one vertical domino in the first column and at least one horizontal domino in the top row, which exclude valid tilings that do not satisfy them.","{""label"":""incomplete"",""confidence"":0.94,""rationale"":""The model is executable and correctly enforces exact coverage of each cell by dominoes. However, the extra symmetry-breaking-style constraints require at least one vertical domino in the first column and at least one horizontal domino in the top row, which exclude valid tilings that do not satisfy them.""}"
openai/gpt-5.4-mini,reference_free,openai/gpt-5.1-codex-mini,CPMpy,non-executable,non-executable,True,0.99,"The program references undefined variable `dominoes` at the end, causing a runtime error after solving. As written it cannot execute successfully, regardless of the modeling constraints.","{""label"":""non-executable"",""confidence"":0.99,""rationale"":""The program references undefined variable `dominoes` at the end, causing a runtime error after solving. As written it cannot execute successfully, regardless of the modeling constraints.""}"
openai/gpt-5.4-mini,reference_based,openai/gpt-5.1-codex-mini,minizinc,unsound,unsound-incomplete,False,0.97,"The candidate is executable MiniZinc, but it does not encode the same domino-covering model as the reference. It introduces unrelated tile states and boundary constraints, and it never enforces that every cell is covered exactly once by a domino, so it can accept invalid tilings and also miss valid ones.","{""label"":""unsound-incomplete"",""confidence"":0.97,""rationale"":""The candidate is executable MiniZinc, but it does not encode the same domino-covering model as the reference. It introduces unrelated tile states and boundary constraints, and it never enforces that every cell is covered exactly once by a domino, so it can accept invalid tilings and also miss valid ones.""}"
openai/gpt-5.4-mini,reference_based,openai/gpt-5.1-codex-mini,minizinc,equivalent,equivalent,True,0.96,"The candidate enforces exactly one covering direction per cell, with those directions tied consistently to horizontal and vertical domino starts and boundary cells forced false. This is semantically the same as the reference model’s per-cell coverage-sum constraints, and the model is executable MiniZinc.","{""label"":""equivalent"",""confidence"":0.96,""rationale"":""The candidate enforces exactly one covering direction per cell, with those directions tied consistently to horizontal and vertical domino starts and boundary cells forced false. This is semantically the same as the reference model’s per-cell coverage-sum constraints, and the model is executable MiniZinc.""}"
openai/gpt-5.4-mini,reference_based,openai/gpt-5.1-codex-mini,minizinc,non-executable,incomplete,False,0.99,"The candidate is executable and keeps the same exact cover constraints as the reference model. However, it adds the extra restriction v[0, j] == 0, which removes valid tilings that use vertical dominoes starting on the first row.","{""label"":""incomplete"",""confidence"":0.99,""rationale"":""The candidate is executable and keeps the same exact cover constraints as the reference model. However, it adds the extra restriction v[0, j] == 0, which removes valid tilings that use vertical dominoes starting on the first row.""}"
openai/gpt-5.4-mini,reference_based,openai/gpt-5.1-codex-mini,minizinc,incomplete,incomplete,True,0.98,"The candidate is executable MiniZinc and preserves the exact per-cell coverage constraints from the reference. However, it additionally forbids all vertical domino starts on the first row, excluding valid tilings that the reference model allows.","{""label"":""incomplete"",""confidence"":0.98,""rationale"":""The candidate is executable MiniZinc and preserves the exact per-cell coverage constraints from the reference. However, it additionally forbids all vertical domino starts on the first row, excluding valid tilings that the reference model allows.""}"
openai/gpt-5.4-mini,reference_based,openai/gpt-5.1-codex-mini,minizinc,unsound-incomplete,unsound-incomplete,True,0.99,"The candidate is executable MiniZinc, but it weakens the cell coverage constraint from equality to >=1, allowing overlaps, and also forces all vertical dominoes false. Thus it admits invalid tilings and rejects valid ones that need vertical dominoes.","{""label"":""unsound-incomplete"",""confidence"":0.99,""rationale"":""The candidate is executable MiniZinc, but it weakens the cell coverage constraint from equality to >=1, allowing overlaps, and also forces all vertical dominoes false. Thus it admits invalid tilings and rejects valid ones that need vertical dominoes.""}"
openai/gpt-5.4-mini,reference_based,openai/gpt-5.1-codex-mini,CPMpy,equivalent,unsound-incomplete,False,0.94,"The candidate is executable, but it constrains only some local orientation patterns and never enforces that every cell is covered exactly once as in the reference model. It also hardcodes m=4, n=6, so it misses valid instances and can admit invalid tilings.","{""label"":""unsound-incomplete"",""confidence"":0.94,""rationale"":""The candidate is executable, but it constrains only some local orientation patterns and never enforces that every cell is covered exactly once as in the reference model. It also hardcodes m=4, n=6, so it misses valid instances and can admit invalid tilings.""}"
openai/gpt-5.4-mini,reference_based,openai/gpt-5.1-codex-mini,CPMpy,unsound,unsound,True,0.99,"The candidate is executable CPMpy code, but it weakens the per-cell constraint from exactly one cover to at least one. This allows overlapping dominoes and other invalid tilings that the reference model forbids.","{""label"":""unsound"",""confidence"":0.99,""rationale"":""The candidate is executable CPMpy code, but it weakens the per-cell constraint from exactly one cover to at least one. This allows overlapping dominoes and other invalid tilings that the reference model forbids.""}"
openai/gpt-5.4-mini,reference_based,openai/gpt-5.1-codex-mini,CPMpy,incomplete,unsound,False,0.95,"The candidate is executable and keeps the reference coverage constraints, but adds extra requirements (at least one vertical in the first column and one horizontal in the top row). These exclude valid tilings accepted by the reference model, so it is incomplete; the added constraints do not create false positives beyond the reference encoding.","{""label"":""unsound"",""confidence"":0.95,""rationale"":""The candidate is executable and keeps the reference coverage constraints, but adds extra requirements (at least one vertical in the first column and one horizontal in the top row). These exclude valid tilings accepted by the reference model, so it is incomplete; the added constraints do not create false positives beyond the reference encoding.""}"
openai/gpt-5.4-mini,reference_based,openai/gpt-5.1-codex-mini,CPMpy,non-executable,non-executable,True,0.98,"The candidate references an undefined variable `dominoes` in the final print, which causes a runtime error. Aside from that, its constraints match the reference model, but it cannot execute successfully as written.","{""label"":""non-executable"",""confidence"":0.98,""rationale"":""The candidate references an undefined variable `dominoes` in the final print, which causes a runtime error. Aside from that, its constraints match the reference model, but it cannot execute successfully as written.""}"
